Country,CountryCode,Lat,Long,Count,Density,Population,DensityGroup
Afghanistan,A01,33.93911,67.709953,826,60,38742911,<=100
Albania,A02,41.153332,20.168331,74,105,2878420,>100<=500
Algeria,A03,28.033886,1.659626,946,18,43685618,<=100
Andorra,A04,42.546245,1.601554,52,164,77240,>100<=500
Angola,A05,-11.202692,17.873887,19,26,32644783,<=100
Antigua and Barbuda,A06,17.060816,-61.796428,3,223,97764,>100<=500
Argentina,A07,-38.416097,-63.616672,1481,17,45111229,<=100
Armenia,A08,40.069099,45.038189,477,104,2962137,>100<=500
Australia,A09,-25.274398,133.775136,104,3,25439164,<=100
Austria,A10,47.516231,14.550072,705,109,8996022,>100<=500
Azerbaijan,A11,40.143105,47.576927,241,123,10120555,>100<=500
Bahamas,B01,25.03428,-77.39628,11,39,392477,<=100
Bahrain,B02,25.930414,50.637772,96,2239,1688629,>1000<=7000
Bangladesh,B03,23.684994,90.356331,1997,1265,164354176,>1000<=7000
Barbados,B04,13.193887,-59.543198,7,668,287305,>500<=1000
Belarus,B05,53.709807,27.953389,418,47,9449940,<=100
Belgium,B06,50.503887,4.469936,9771,383,11579477,>100<=500
Belize,B07,17.189877,-88.49765,2,17,396120,<=100
Benin,B08,9.30769,2.315834,21,108,12055347,>100<=500
Bhutan,B09,27.514162,90.433601,0,20,769867,<=100
Bolivia,B10,-16.290154,-63.588653,1378,11,11640159,<=100
Bosnia and Herzegovina,B11,43.915886,17.679076,191,64,3284806,<=100
Botswana,B12,-22.328474,24.684866,1,4,2341649,<=100
Brazil,B13,-14.235004,-51.92528,64265,25,212253150,<=100
Brunei,B14,4.535277,114.727669,3,83,436624,<=100
Bulgaria,B15,42.733883,25.48583,241,64,6958627,<=100
Burkina Faso,B16,12.238333,-1.561593,53,76,20780371,<=100
Burundi,B17,-3.373056,29.918886,1,463,11814346,>100<=500
Cabo Verde,C01,16.5388,-23.0418,16,138,554750,>100<=500
Cambodia,C02,12.565679,104.990963,0,95,16671185,<=100
Cameroon,C03,7.369722,12.354722,313,56,26405174,<=100
Canada,C04,56.130366,-106.346771,8732,4,37674770,<=100
Central African Republic,C05,6.611111,20.939444,48,8,4812256,<=100
Chad,C06,15.454166,18.732207,74,13,16324440,<=100
Chile,C07,-35.675147,-71.542969,6192,26,19082804,<=100
China,C08,35.86166,104.195397,4641,153,1438207241,>100<=500
Colombia,C09,4.570868,-74.297333,4001,46,50771878,<=100
Comoros,C10,-11.875001,43.872219,7,467,865696,>100<=500
Costa Rica,C12,9.748917,-83.753428,18,100,5084636,<=100
Cote d'Ivoire,C13,7.54,-5.5471,72,83,26239250,<=100
Croatia,C14,45.1,15.2,113,73,4110214,<=100
Cuba,C15,21.521757,-77.781167,86,106,11327988,>100<=500
Cyprus,C16,35.126413,33.429859,19,131,1205577,>100<=500
Czechia,C17,49.8175,15.473,351,139,10705012,>100<=500
Denmark,D01,56.26392,9.501785,606,137,5788108,>100<=500
Djibouti,D02,11.825138,42.590275,55,43,985027,<=100
Dominica,D03,15.414999,-61.370976,0,96,71950,<=100
Dominican Republic,D04,18.735693,-70.162651,786,225,10825682,>100<=500
Ecuador,E01,-1.831239,-78.183406,4769,71,17587526,<=100
Egypt,E02,26.820553,30.802498,3280,103,101930276,>100<=500
El Salvador,E03,13.794185,-88.89653,210,313,6479609,>100<=500
Equatorial Guinea,E04,1.650801,10.267895,51,50,1392950,<=100
Eritrea,E05,15.179384,39.782334,0,35,3536285,<=100
Estonia,E06,58.595272,25.013607,69,31,1326357,<=100
Eswatini,E07,-26.5225,31.4659,13,67,1157707,<=100
Ethiopia,E08,9.145,40.489673,103,115,114357494,>100<=500
Fiji,F01,-16.578193,179.414413,0,49,895128,<=100
Finland,F02,61.92411,25.748151,329,18,5539002,<=100
France,F03,46.227638,2.213749,29896,119,65244628,>100<=500
Gabon,G01,-0.803689,11.609444,44,9,2214593,<=100
Gambia,G02,13.443182,-15.310139,2,239,2402083,>100<=500
Georgia,G03,42.315407,43.356892,15,57,3990681,<=100
Germany,G04,51.165691,10.451526,9020,240,83730223,>100<=500
Ghana,G05,7.946527,-1.023194,117,137,30936375,>100<=500
Greece,G06,39.074208,21.824312,192,81,10433037,<=100
Grenada,G07,12.262776,-61.604171,0,331,112418,>100<=500
Guatemala,G08,15.783471,-90.230759,920,167,17846248,>100<=500
Guinea,G09,9.945587,-9.696645,34,53,13056478,<=100
Guinea-Bissau,G10,11.803749,-15.180413,25,70,1958132,<=100
Guyana,G11,4.860416,-58.93018,14,4,785788,<=100
Haiti,H01,18.971187,-72.285215,113,414,11373955,>100<=500
Holy See,H02,41.9029,12.4534,0,2003,801,>1000<=7000
Honduras,H03,15.199999,-86.241905,629,89,9871892,<=100
Hungary,H04,47.162494,19.503304,589,107,9665192,>100<=500
Iceland,I01,64.963051,-19.020835,10,3,340795,<=100
India,I02,20.593684,78.96288,19268,464,1377233523,>100<=500
Indonesia,I03,-0.789275,113.921327,3089,151,272931713,>100<=500
Iran,I04,32.427908,53.688046,11408,52,83771587,<=100
Iraq,I05,33.223191,43.679291,2368,93,40031626,<=100
Ireland,I06,53.41291,-8.24389,1741,72,4926480,<=100
Israel,I07,31.046051,34.851612,330,400,8627444,>100<=500
Italy,I08,41.87194,12.56738,34854,206,60479424,>100<=500
Jamaica,J01,18.109581,-77.297508,10,273,2958567,>100<=500
Japan,J02,36.204824,138.252924,977,347,126552765,>100<=500
Jordan,J03,30.585164,36.238414,10,115,10182442,>100<=500
Kazakhstan,K01,48.019573,66.923684,188,7,18730568,<=100
Kenya,K02,-0.023559,37.906193,159,94,53521116,<=100
Kosovo,K03,42.602636,20.902977,55,159,1845000,>100<=500
Kuwait,K04,29.31166,47.481766,365,240,4257495,>100<=500
Kyrgyzstan,K05,41.20438,74.766098,78,34,6501804,<=100
Laos,L01,19.85627,102.495496,0,32,7253719,<=100
Latvia,L02,56.879635,24.603189,30,30,1890218,<=100
Lebanon,L03,33.854721,35.862285,35,667,6831445,>500<=1000
Lesotho,L04,-29.609988,28.233608,0,71,2138799,<=100
Liberia,L05,6.428055,-9.429499,37,53,5032469,<=100
Libya,L06,26.3351,17.228331,27,4,6852010,<=100
Liechtenstein,L07,47.166,9.555373,1,238,38106,>100<=500
Lithuania,L08,55.169438,23.881275,79,43,2729553,<=100
Luxembourg,L09,49.815273,6.129583,110,242,623861,>100<=500
Madagascar,M01,-18.766947,46.869107,29,48,27539106,<=100
Malawi,M02,-13.254308,34.301525,17,203,19024426,>100<=500
Malaysia,M03,4.210484,101.975766,121,99,32280610,<=100
Maldives,M04,3.202778,73.22068,10,1802,538558,>1000<=7000
Mali,M05,17.570692,-3.996166,118,17,20125282,<=100
Malta,M06,35.937496,14.375416,9,1380,441308,>1000<=7000
Mauritania,M07,21.00789,-10.940835,129,5,4623535,<=100
Mauritius,M08,-20.348404,57.552152,10,626,1271347,>500<=1000
Mexico,M09,23.634501,-102.552784,30366,66,128655589,<=100
Moldova,M10,47.411631,28.369885,580,123,4035814,>100<=500
Monaco,M11,43.750298,7.412841,4,26337,39186,>7000
Mongolia,M12,46.862496,103.846656,0,2,3267320,<=100
Montenegro,M13,42.708678,19.37439,14,47,628050,<=100
Morocco,M14,31.791702,-7.09262,232,83,36820713,<=100
Mozambique,M15,-18.665695,35.529562,7,40,31067362,<=100
Namibia,N01,-22.95764,18.49041,0,3,2531290,<=100
Nepal,N02,28.394857,84.124008,34,203,29027347,>100<=500
Netherlands,N03,52.132633,5.291266,6132,508,17127290,>500<=1000
New Zealand,N04,-40.900557,174.885971,22,18,4814272,<=100
Nicaragua,N05,12.865416,-85.207229,83,55,6608366,<=100
Niger,N06,17.607789,8.081666,68,19,24014064,<=100
Nigeria,N07,9.081999,8.675277,634,226,205052107,>100<=500
North Macedonia,N08,41.6086,21.7453,334,83,2083391,<=100
Norway,N09,60.472024,8.468946,251,15,5412632,<=100
Oman,O01,21.512583,55.923255,203,16,5078933,<=100
Pakistan,P01,30.375321,69.345116,4619,287,219992900,>100<=500
Panama,P02,8.537981,-80.782127,720,58,4300667,<=100
Papua New Guinea,P03,-6.314993,143.95555,0,20,8911530,<=100
Paraguay,P04,-23.442503,-58.443832,20,18,7114524,<=100
Peru,P05,-9.189967,-75.015152,10412,26,32876986,<=100
Philippines,P06,12.879721,121.774017,1290,368,109280343,>100<=500
Poland,P07,51.919438,19.145136,1512,124,37854825,>100<=500
Portugal,P08,39.399872,-8.224454,1605,111,10202571,>100<=500
Qatar,Q01,25.354826,51.183884,123,248,2870922,>100<=500
Romania,R01,45.943161,24.96676,1731,84,19262731,<=100
Russia,R02,61.52401,105.318756,10011,9,145922010,<=100
Rwanda,R03,-1.940278,29.873888,3,525,12883878,>500<=1000
Saint Kitts and Nevis,S01,17.357822,-62.782998,0,205,53123,>100<=500
Saint Lucia,S02,13.909444,-60.978893,0,301,183458,>100<=500
Saint Vincent and the Grenadines,S03,12.984305,-61.287228,0,284,110869,>100<=500
San Marino,S04,43.94236,12.457777,42,566,33917,>500<=1000
Sao Tome and Principe,S05,0.18636,6.613081,13,228,218308,>100<=500
Saudi Arabia,S06,23.885942,45.079162,1858,16,34701377,<=100
Senegal,S07,14.497401,-14.452362,129,87,16649599,<=100
Serbia,S08,44.016521,21.005859,306,100,8744288,<=100
Seychelles,S09,-4.679574,55.491977,0,214,98224,>100<=500
Sierra Leone,S10,8.460555,-11.779889,62,111,7942879,>100<=500
Singapore,S11,1.352083,103.819836,26,8358,5840996,>7000
Slovakia,S12,48.669026,19.699024,28,114,5459116,>100<=500
Slovenia,S13,46.151241,14.995463,111,103,2078881,>100<=500
Somalia,S14,5.152149,46.199616,92,25,15798020,<=100
South Africa,S15,-30.559482,22.937506,3026,49,59154802,<=100
South Korea,S16,35.907757,127.766922,283,527,51260395,>500<=1000
South Sudan,S17,6.877,31.307,38,18,11166783,<=100
Spain,S18,40.463667,-3.74922,28385,94,46751175,<=100
Sri Lanka,S19,7.873054,80.771797,11,341,21395196,>100<=500
Sudan,S20,12.862807,30.217636,608,25,43632213,<=100
Suriname,S21,3.919305,-56.027783,14,4,585561,<=100
Sweden,S22,60.128161,18.643501,5420,25,10086531,<=100
Switzerland,S23,46.818188,8.227512,1965,219,8641786,>100<=500
Syria,S24,34.802075,38.996815,10,95,17410293,<=100
Taiwan,T01,23.69781,120.960515,7,673,23808164,>500<=1000
Tajikistan,T02,38.861034,71.276093,52,68,9492342,<=100
Tanzania,T03,-6.369028,34.888822,21,67,59368313,<=100
Thailand,T04,15.870032,100.992541,58,137,69764925,>100<=500
Timor-Leste,T05,-8.874217,125.727539,0,89,1313184,<=100
Togo,T06,8.619543,0.824782,15,152,8237580,>100<=500
Trinidad and Tobago,T07,10.691803,-61.222503,8,273,1398579,>100<=500
Tunisia,T08,33.886917,9.537499,50,76,11793319,<=100
Turkey,T09,38.963745,35.243322,5206,110,84153250,>100<=500
Uganda,U01,1.373333,32.290275,0,229,45427637,>100<=500
Ukraine,U02,48.379433,31.16558,1243,75,43785122,<=100
United Arab Emirates,U03,23.424076,53.847818,321,118,9865845,>100<=500
United Kingdom,U04,55.378051,-3.435973,44283,281,67814098,>100<=500
Uruguay,U05,-32.522779,-55.765835,28,20,3471314,<=100
US,U06,37.0902,-95.7129,129676,36,330610570,<=100
Uzbekistan,U07,41.377491,64.585262,31,79,33368859,<=100
Venezuela,V01,6.42375,-66.58973,62,32,28451828,<=100
Vietnam,V02,14.058324,108.277199,0,314,97160127,>100<=500
Western Sahara,W01,24.215527,-12.885834,1,2,594215,<=100
Yemen,Y01,15.552727,48.516388,337,56,29687214,<=100
Zambia,Z01,-13.133897,27.849332,30,25,18273379,<=100
Zimbabwe,Z02,-19.015438,29.154857,8,38,14818157,<=100
